Time [s],Channel 1
5.261172083,0
5.261276083,1
5.261379667,0
5.261483625,1
5.261587208,0
5.261691167,1
5.261794750,0
5.261898708,1
5.262002292,0
5.262106292,1
5.262209833,0
5.262313833,1
5.262417375,0
5.262521375,1
5.262624958,0
5.262728958,1
5.262832500,0
5.262936500,1
5.263040083,0
5.263144083,1
5.263247625,0
5.263351625,1
5.263455208,0
5.263559167,1
5.263662750,0
5.263766750,1
5.263872375,0
5.263978458,1
5.264084083,0
5.264190167,1
5.264295792,0
5.264401875,1
5.264507500,0
5.264613583,1
5.264719208,0
5.264825292,1
5.264930958,0
5.265037000,1
5.265142667,0
5.265248750,1
5.265354375,0
5.265460458,1
5.265566083,0
5.265672167,1
5.265777833,0
5.265883875,1
5.265989542,0
5.266095625,1
5.266201250,0
5.266307333,1
5.266412958,0
5.266519042,1
5.266624667,0
5.266730708,1
5.266836333,0
5.266942417,1
5.267048042,0
5.267154125,1
5.267259750,0
5.267365833,1
5.267471458,0
5.267577542,1
5.267683167,0
5.267789250,1
5.267894917,0
5.268000958,1
5.268106625,0
5.268212667,1
5.268318292,0
5.268424375,1
5.268530000,0
5.268636083,1
5.268741708,0
5.268847792,1
5.268953417,0
5.269059500,1
5.269165125,0
5.269271208,1
5.269376833,0
5.269482917,1
5.269588583,0
5.269694625,1
5.269800292,0
5.269906333,1
5.270012000,0
5.270118042,1
5.270223708,0
5.270329792,1
5.270435417,0
5.270541500,1
5.270647125,0
5.270753208,1
5.270858833,0
5.270964875,1
5.271070542,0
5.271176625,1
5.271282250,0
5.271388292,1
5.271493958,0
5.271600042,1
5.271705708,0
5.271811750,1
5.271917417,0
5.272023458,1
5.272129125,0
5.272235208,1
5.272340833,0
5.272446917,1
5.272552583,0
5.272658625,1
5.272764292,0
5.272870333,1
5.272976000,0
5.273082042,1
5.273187708,0
5.273293792,1
5.273399417,0
5.273505500,1
5.273611167,0
5.273717208,1
5.273822875,0
5.273928958,1
5.274034583,0
5.274140667,1
5.274246333,0
5.274352417,1
5.274458042,0
5.274564125,1
5.274669792,0
5.274775833,1
5.274881500,0
5.274987583,1
5.275093208,0
5.275199292,1
5.275304958,0
5.275411042,1
5.275516708,0
5.275622750,1
5.275728417,0
5.275834500,1
5.275940167,0
5.276046208,1
5.276151875,0
5.276257917,1
5.276363583,0
5.276469667,1
5.276577375,0
5.276685500,1
5.276793250,0
5.276901375,1
5.277009125,0
5.277117250,1
5.277224958,0
5.277333125,1
5.277440833,0
5.277549000,1
5.277656708,0
5.277764833,1
5.277872583,0
5.277980750,1
5.278088458,0
5.278196625,1
5.278304333,0
5.278412500,1
5.278520250,0
5.278628375,1
5.278736083,0
5.278844250,1
5.278951958,0
5.279060125,1
5.279167833,0
5.279276000,1
5.279383708,0
5.279491833,1
5.279599583,0
5.279707708,1
5.279815417,0
5.279923583,1
5.280031292,0
5.280139417,1
5.280247167,0
5.280355292,1
5.280463000,0
5.280571167,1
5.280678875,0
5.280787000,1
5.280894750,0
5.281002875,1
5.281110625,0
5.281218750,1
5.281326458,0
5.281434625,1
5.281542333,0
5.281650500,1
5.281758208,0
5.281866375,1
5.281974083,0
5.282082208,1
5.282189958,0
5.282298083,1
5.282405792,0
5.282513958,1
5.282621667,0
5.282729792,1
5.282837542,0
5.282945667,1
5.283053375,0
5.283161542,1
5.283269250,0
5.283377417,1
5.283485125,0
5.283593292,1
5.283701000,0
5.283809125,1
5.283916875,0
5.284025000,1
5.284132750,0
5.284240875,1
5.284348625,0
5.284456750,1
5.284564458,0
5.284672625,1
5.284780333,0
5.284888458,1
5.284996208,0
5.285104333,1
5.285212083,0
5.285320208,1
5.285427958,0
5.285536083,1
5.285643792,0
5.285751958,1
5.285859667,0
5.285967833,1
5.286075542,0
5.286183708,1
5.286291417,0
5.286399542,1
5.286507292,0
5.286615417,1
5.286723125,0
5.286831292,1
5.286939000,0
5.287047125,1
5.287154833,0
5.287263000,1
5.287370708,0
5.287478833,1
5.287586542,0
5.287694708,1
5.287802417,0
5.287910542,1
5.288018292,0
5.288126417,1
5.288234125,0
5.288342292,1
5.288450000,0
5.288558167,1
5.288665875,0
5.288774000,1
5.288881708,0
5.288989875,1
5.289099667,0
5.289209875,1
5.289319667,0
5.289429917,1
5.289539708,0
5.289649917,1
5.289759708,0
5.289869917,1
5.289979708,0
5.290089958,1
5.290199750,0
5.290309958,1
5.290419750,0
5.290530000,1
5.290639792,0
5.290750000,1
5.290859792,0
5.290970042,1
5.291079833,0
5.291190042,1
5.291299833,0
5.291410083,1
5.291519875,0
5.291630083,1
5.291739875,0
5.291850083,1
5.291959875,0
5.292070125,1
5.292179875,0
5.292290125,1
